PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Mizielinska, J				Mizielinska, Joanna			"Is She Still a Family or Rather Some Stranger?" - Relative Strangers and Kinship Plasticity in <i>Families of Choice in Poland</i>	JOURNAL OF HOMOSEXUALITY												In the paper, I draw on the data from the ethnographic part of my recently completed research project "Families of Choice in Poland" (2013-2016). I focus on queer families' ways of describing their kin-relations and the meaning of "families". This often involves strategic use of kin language and reference to the importance of blood relations. Analysis reveals a high degree of polemic interplays and ambivalences, especially in reference to the role of social mother within lesbian families. In their narratives lesbian mothers and their children struggle between the biogenetic normative understanding of the family and the practical one based on parental practices of care and shared affections. By investigating the family maps of participants I aim to demonstrate what kind of relatedness matters to them, how it is (re)negotiated and changed. By doing this, I intend to show that queer kinship is always already very plastic, based on contradictions between choice and blood. Blood as an important symbol of kinship is affirmed and simultaneously challenged because biology ceased to be a singular self-evident and natural fundament of kinship.																			0091-8369	1540-3602				SEP 19	2021	68	11					1899	1922		10.1080/00918369.2020.1712143	http://dx.doi.org/10.1080/00918369.2020.1712143		JAN 2020						31939713					WOS:000507220700001
C	Feng, YH; Zhou, WJ; Lu, Z; Wang, ZB; Cao, Q			Assoc Comp Machinery	Feng, Yunhe; Zhou, Wenjun; Lu, Zheng; Wang, Zhibo; Cao, Qing			The World Wants Mangoes and Kangaroos: A Study of New Emoji Requests Based on Thirty Million Tweets	WEB CONFERENCE 2019: PROCEEDINGS OF THE WORLD WIDE WEB CONFERENCE (WWW 2019)					World Wide Web Conference (WWW)	MAY 13-17, 2019	San Francisco, CA	Assoc Comp Machinery, Microsoft, Amazon, Bloomberg, Google, Criteo AI Lab, CISCO, NTENT, Spotify, Yahoo Res, Wikimedia Fdn, Baidu, DiDi, eBay, Facebook, LinkedIn, Megagon Labs, Mix, Mozilla, Netflix Res, NE Univ, Khoury Coll Comp Sci, Pinterest, Quora, Visa Res, Walmart Labs, Airbnb, Letgo, Gordon & Betty Moore Fdn, Webcastor				As emojis become prevalent in personal communications, people are always looking for new, interesting emojis to express emotions, show attitudes, or simply visualize texts. In this study, we collected more than thirty million tweets mentioning the word "emoji" in a one-year period to study emoji requests on Twitter. First, we filtered out bot-generated tweets and extracted emoji requests from the raw tweets using a comprehensive list of linguistic patterns. Then, we examined patterns of new emoji requests by exploring their time, locations, and context. Finally, we summarized users' advocacy behaviors and identified expressions of equity, diversity, and fairness issues due to unreleased but expected emojis, and concluded the significance of new emojis on society. To the best of our knowledge, this paper is the first to conduct a systematic, large-scale study on new emoji requests.					Wang, Zhibo/GSD-3371-2022; Feng, Yunhe/AAB-8342-2019	Feng, Yunhe/0000-0001-6577-227X; Zhou, Wenjun/0000-0003-2346-8151; Cao, Qing/0000-0002-3423-9621															978-1-4503-6674-8				2019							2722	2728		10.1145/3308558.3313728	http://dx.doi.org/10.1145/3308558.3313728													WOS:000483508402081
J	Allegri, SA; McCoy, K; Mitchell, CS				Allegri, Stephen A.; McCoy, Kevin; Mitchell, Cassie S.			CompositeView: A Network-Based Visualization Tool	BIG DATA AND COGNITIVE COMPUTING												Large networks are quintessential to bioinformatics, knowledge graphs, social network analysis, and graph-based learning. CompositeView is a Python-based open-source application that improves interactive complex network visualization and extraction of actionable insight. CompositeView utilizes specifically formatted input data to calculate composite scores and display them using the Cytoscape component of Dash. Composite scores are defined representations of smaller sets of conceptually similar data that, when combined, generate a single score to reduce information overload. Visualized interactive results are user-refined via filtering elements such as node value and edge weight sliders and graph manipulation options (e.g., node color and layout spread). The primary difference between CompositeView and other network visualization tools is its ability to auto-calculate and auto-update composite scores as the user interactively filters or aggregates data. CompositeView was developed to visualize network relevance rankings, but it performs well with non-network data. Three disparate CompositeView use cases are shown: relevance rankings from SemNet 2.0, an open-source knowledge graph relationship ranking software for biomedical literature-based discovery; Human Development Index (HDI) data; and the Framingham cardiovascular study. CompositeView was stress tested to construct reference benchmarks that define breadth and size of data effectively visualized. Finally, CompositeView is compared to Excel, Tableau, Cytoscape, neo4j, NodeXL, and Gephi.						McCoy, Kevin/0000-0002-3570-6826; Mitchell, Cassie/0000-0002-5472-6355														2504-2289				JUN	2022	6	2							66	10.3390/bdcc6020066	http://dx.doi.org/10.3390/bdcc6020066								35847767					WOS:000818442700001
J	Ganzevoort, W; van den Born, RJG				Ganzevoort, Wessel; van den Born, Riyan J. G.			Counting Bees: Learning Outcomes from Participation in the Dutch National Bee Survey	SUSTAINABILITY												Citizen science approaches to data collection are growing in popularity, in part because of their potential for achieving both scientific and educational objectives. Evaluating the impacts of participation on citizen scientists is important, yet such evaluations are still relatively rare. In addition, recent literature reviews indicate that existing studies often focus on content learning, make limited use of existing scales, and rarely report null results. This paper reports an evaluation of the demographic profile, motivations and learning outcomes of participants in the Dutch National Bee Survey, a national-scale citizen science project involving citizens in collecting observational data of wild bees. Using a repeated measures survey study, we assessed the impact of participation on respondents' attitudes and behavioural intentions regarding bees, and their attitudes towards nature, citizenship, and citizen science. Our baseline (N = 373) and follow-up (N = 208) surveys indicate that our respondents are of a relatively high age and education level, have a pre-existing affinity with nature, and are strongly motivated by conservation concerns and learning about bees. Assessment of learning outcomes indicated a significant difference between two types of self-report questions: respondents reported significant gains in knowledge and appreciation of wild bees, yet attitudinal scales indicated no significant shifts in attitudes towards bees, nature, citizen science, or citizenship. In our discussion, we suggest several explanations for this finding, including respondents' pre-existing affinity with nature, and advance suggestions for future research into citizen science learning outcomes.					van den Born, Riyan J.G./B-3421-2017	Ganzevoort, Wessel/0000-0002-1421-9893														2071-1050				MAY	2021	13	9							4703	10.3390/su13094703	http://dx.doi.org/10.3390/su13094703													WOS:000650880300001
C	Ha, NH; Lin, YC; Vo, NV; Le, DN; Lin, KS		Bhateja, V; LeNguyen, B; Nguyen, NG; Satapathy, SC; Le, DN		Nhu-Hang Ha; Lin, Yao Chin; Nhan-Van Vo; Dac-Nhuong Le; Lin, Kuo-Sung			The Relation of Curiosity and Creative use of IT	INFORMATION SYSTEMS DESIGN AND INTELLIGENT APPLICATIONS, INDIA 2017	Advances in Intelligent Systems and Computing				4th International Conference on Information Systems Design and Intelligent Applications (INDIA)	JUN 15-17, 2017	Duy Tan Univ, Da Nang, VIETNAM		Duy Tan Univ			It is essential to identify factors influencing the creative use of IT that can enhance organizational performance. Based on self-determination theory, our approach investigates the intermediate role of employees' curiosity in the relationships between inherent psychological needs and employees' creative use of IT. By using the quantitative method, this study develops a model regarding the creative use of IT. To test the model, surveys are distributed to employees working for organizations located in one of the biggest city in Vietnam. The results indicate that curiosity has partial mediation in the relation between inherent psychological needs and creative use of IT. The findings of this paper are expected to shed a new light into the study of users' behavior, especially in their creative use of IT. This paper also provides valuable insight to practitioners on how to improve their employees' creative use of IT.					Le, Dac-Nhuong/E-4197-2016	Le, Dac-Nhuong/0000-0003-2601-2803													2194-5357	2194-5365	978-981-10-7512-4; 978-981-10-7511-7				2018	672						537	547		10.1007/978-981-10-7512-4_53	http://dx.doi.org/10.1007/978-981-10-7512-4_53													WOS:000456194600053
C	Chonteva, Z; Popov, TJ; Trajkova, K		StefanovskaPetkovska, M		Chonteva, Zhaneta; Popov, Tamara Jolevska; Trajkova, Kate			MOTIVATION TO LEARN ONLINE DURING AND AFTER THE COVID-19 PANDEMIC	POST-PANDEMIC SUSTAINABILITY IN EUROPE (AICEI2021)					16th Annual International Conference on European Integration (AICEI)	SEP 16, 2021	ELECTR NETWORK	Univ Amer Coll Skopje, Friedrich Ebert Stiftung				The research aims to define the model and the role of motivation to learn in the online classrooms. As online courses become prevalent during the present pandemic caused by COVID-19, it is very important to search for the answers to the following questions: How can instructors design their online courses to optimize student motivation? And how can students identify and take advantage of motivational strengths in online courses? The modified version of the Motivation to Learn Online Questionnaire (MLOQ) was used to assess college students' motivation to learn during online classes. The MLOQ is adapted, in part, from the Motivated Strategies for Learning Questionnaire (MSLQ) and it was designed to assess the following dimensions: intrinsic and extrinsic goal orientation, self-efficacy and task value. These factors are based on a general cognitive view of motivation and are well-documented as influencing the quality of instruction in a traditional classroom, but they might function differently in online learning environments. Two other constructs: instructor support and social engagement are part of the MLOQ since they are relevant to the motivation to learn online. The sample consists of 184 university students recruited from 30 different online courses taught at two private universities in Skopje, the International Balkan University and University American College Skopje. Results from the confirmatory factor analysis show that the hypothesized 6-factor model has an acceptable fit to the data from this research and it can be considered when determining the optimal approach to online learning.						Chonteva, Zhaneta/0000-0002-7083-2115															978-608-4607-54-0				2021							232	252																WOS:000795877300014
J	Bergamini, E; Zachmann, G				Bergamini, Enrico; Zachmann, Georg			Exploring EU's Regional Potential in Low-Carbon Technologies	SUSTAINABILITY												This research builds on the regional innovation literature, and aims to better understand the potential for, and development of, low-carbon technologies in the European Union. Exploiting the OECD's REGPAT for regionalised patent data, we estimate the potential advantage of European NUTS2 regions have in 14 green technologies. We use network proximity between technologies and between regions to understand technological/regional clusters of revealed technological advantage and build the regressors for estimating regional potential advantage in specific technologies via zero-inflated beta regressions. Based on this, we explore the region-technology networks, finding two gravity centres for green innovation in France's and Germany's industrial and high-tech hubs (ile de France, Stuttgart, and Oberbayern). We also construct a dataset of lagged potentials and labour market, economic and demographic variables, and perform an elastic net regularisation to understand the association with current revealed advantages. Our approach indicates an association between technological advantage in green technologies and the (lags of) participation rates in labour markets, sectoral employment in science and technology, general higher education, duration of employment, percentage of GDP spent on R&D (public and private) and other expenditure on R&D. If confirmed by causality tests, the established associations could help in designing horizontal economic policies to enable specific regions to realise their specialisation potential in specific green technologies.																				2071-1050				JAN	2021	13	1							32	10.3390/su13010032	http://dx.doi.org/10.3390/su13010032													WOS:000606435700001
J	Signori, A; Vismara, S				Signori, Andrea; Vismara, Silvio			M & A synergies and trends in IPOs	TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE												The recent decline in IPO activity can be explained by the small firms' increasing preference for being acquired rather than growing independently. This paper sheds light on this explanation by focusing on the nature of the firms facing this decision and their potential merger synergies. First, the above explanation should be particularly true for Young Innovative Companies (YICs), which are often superior to incumbents in originating innovations but face greater difficulties in bringing them to the market. Second, a firm's trade-off between being acquired and remaining independent strongly depends on the extent of the synergies arising from a potential merger, which are however difficult to assess ex-ante. Using a new, text-based measure of business similarity as a proxy for M & A synergies, we document that YICs facing the potential to develop larger synergies are the main responsible for the decline in IPOs. Compared to 15 years ago, the quarterly number of IPOs conducted by these firms has decreased by 20. At the same time, while M & A activity of other firms has declined, the number of acquisitions involving this particular type of firms has remained stable over time.						Vismara, Silvio/0000-0001-5411-0326; SIGNORI, Andrea/0000-0002-7502-5451													0040-1625	1873-5509				FEB	2018	127						141	153		10.1016/j.techfore.2017.05.014	http://dx.doi.org/10.1016/j.techfore.2017.05.014													WOS:000423643700011
J	Karahanna, E; Xu, SX; Xu, Y; Zhang, N				Karahanna, Elena; Xu, Sean Xin; Xu, Yan; Zhang, Nan (Andy)			THE NEEDS-AFFORDANCES-FEATURES PERSPECTIVE FOR THE USE OF SOCIAL MEDIA	MIS QUARTERLY												The paper develops a needs-affordances-features (NAF) perspective on social media use which posits that individuals' psychological needs motivate their use of social media applications to the extent to which these applications provide affordances that satisfy these needs. Our theoretical development builds upon two psychological theories, namely self-determination and psychological ownership, to identify five psychological needs (needs for autonomy, relatedness, competence, having a place, and self-identity), that we posit are particularly pertinent to social media use. According to NAF, these psychological needs will motivate use of those social media applications that provide salient affordances to fulfill these needs. We identify such affordances through a comprehensive review of the literature and of social media applications and put forth propositions that map the affordances to the psychological needs that they fulfill. Our theory development generates important implications. First, it has implications for social media research in that it provides an overarching comprehensive framework for the affordances of social media as a whole and the related psychological needs that motivate their use. Future studies can leverage NAF to identify psychological needs motivating the use of specific social media sites based on the affordances the sites provide, and design science research can leverage NAF in the design and bundling of specific social media features to engage users. Second, it has implications for technology acceptance research in that NAF can enrich existing models by opening up the mechanisms through which psychological needs influence user perceptions of social media and their use patterns and behaviors. Finally, NAF provides a new lens and common vocabulary for future studies, which we hope can stimulate cumulative research endeavors to develop a comprehensive framework of information systems affordances in general and the psychological needs that information systems satisfy.																			0276-7783					SEP	2018	42	3					737	+		10.25300/MISQ/2018/11492	http://dx.doi.org/10.25300/MISQ/2018/11492													WOS:000464639000003
J	Barzel, B; Selter, C				Barzel, Baerbel; Selter, Christoph			The DZLM design principles for in-service teacher education	JOURNAL FUR MATHEMATIK-DIDAKTIK												National and international research on teacher education provides implications for criteria of efficient in-service teacher training. Based on a review of the current state of research with a special focus on mathematics, six design principles of in-service training have been generated by the German Centre for Mathematics Teacher Education (DZLM). In the following these are discussed on the basis of the relevant literature and research. They are illustrated by concrete examples from the work of the German Centre for Mathematics Teacher Education.					Selter, Christoph/AFR-6941-2022														0173-5322	1869-2699				DEC	2015	36	2					259	284		10.1007/s13138-015-0076-y	http://dx.doi.org/10.1007/s13138-015-0076-y													WOS:000435258100004
J	Prince-Embury, S				Prince-Embury, Sandra			Assessing Personal Resiliency in School Settings: The Resiliency Scales for Children and Adolescents	JOURNAL OF PSYCHOLOGISTS AND COUNSELLORS IN SCHOOLS												Recent understanding of education and human development recognises the importance of psychosocial factors, particularly personal resiliency, in the academic success of children and youth. This article presents the examination of resiliency within school settings for the purpose of preventive screening, intervention and outcomes assessment. The Resiliency Scales for Children and Adolescents (Prince-Embury, 2007) is described as an example of an instrument developed specifically for this purpose. This description identifies developmentally sound factors of personal resiliency that are relevant for children and youth in school settings. Also addressed are criteria of psychometric soundness required for universal screening and impact tracking, norm-based profiles of personal resiliency and summary indices of resource and vulnerability for use in screening.																			2055-6365	2055-6373				JUN	2015	25	1			SI		55	65		10.1017/jgc.2014.22	http://dx.doi.org/10.1017/jgc.2014.22													WOS:000362120800006
J	Soga, M; Fukano, Y; Koyanagi, TF; Gaston, KJ				Soga, Masashi; Fukano, Yuya; Koyanagi, Tomoyo F.; Gaston, Kevin J.			Species abundance as a determinant of aesthetic values of flowering plant communities	URBAN FORESTRY & URBAN GREENING												Both the conservation of biodiversity and the maintenance of ecosystem services are important and fundamental goals in response to the current biodiversity crisis. Cultural ecosystem services - the non-material benefits people derive from their interactions with nature - are an important component of ecosystem services. However, determining the contributions of different components of biodiversity to these benefits has proven more challenging than for other ecosystem services. Here, we determine the relative contributions of diversity (measured as cultivar richness) and abundance (number of individuals) to the aesthetic value of flowering plant communities, using sunflowers as a model organism. We created grassland vegetation plots consisting of different numbers of sunflower cultivars and individuals, presented these treatments to people, and measured their aesthetic preferences (both self-reported and objective behavioural measures) towards them. We found that people's aesthetic preferences were unrelated to differences in the cultivar richness of the plots but increased substantially with the number of individuals. More importantly, these preference patterns did not differ with a participants' nature orientation, ecological knowledge, or gender, suggesting the generality of the results. Our findings indicate that the abundance of wildlife can play a crucial role in shaping the cultural services provided by ecosystems. Researchers and policy-makers should therefore pay more attention to the role of abundance in maintaining ecosystem services.																			1618-8667	1610-8167				AUG	2021	63								127194	10.1016/j.ufug.2021.127194	http://dx.doi.org/10.1016/j.ufug.2021.127194		MAY 2021											WOS:000684011700007
J	Kardas, F; Yalçin, I				Kardas, Ferhat; Yalcin, Ilhan			An Adaptation Study of the Balanced Measure of Psychological Needs (BMPN) Scale to Turkish Culture	CUKUROVA UNIVERSITY FACULTY OF EDUCATION JOURNAL												Psychological needs have long been one of the most widely studied topics in the field of mental health. One of the commonly used approaches in recent years in psychological needs satisfaction research is self-determination theory. It is stated in the frame of self-determination theory that psychological needs are universal and can be classified as needs in terms of competence, relationship and autonomy. The aim of this study is to adapt the Balanced Measure of Psychological Needs (BMPN) Scale, which was developed to measure the satisfaction level within the framework of self-determination theory, to Turkish culture. After examining the related literature, a validity and reliability study of the BMPN Scale has been carried out on the students of the Faculty of Educational Sciences of Ankara University, and on the pedagogical formation students from other faculties. Confirmatory factor analysis in the study was conducted on 285 students, criterion related validity on 282 and test re-test reliability on 50 students. 80.5% of the respondents were female and 19.5% were male. The average age of participants was 22. As a result of the research, it was determined that the psychometric properties of the scale were adequate, and the model fit values were appropriate. Accordingly, the Turkish form of BMPN was considered a valid and reliable measurement tool that can be used in research on needs satisfaction.					Kardaş, Ferhat/W-3476-2017; Yalçın, İlhan/AAF-7624-2020	Yalçın, İlhan/0000-0002-6407-9606													1302-9967					OCT	2018	47	2					357	383		10.14812/cuefd.408515	http://dx.doi.org/10.14812/cuefd.408515													WOS:000449004100001
S	Piasecki, M; Radziszewski, A		Marciniak, M; Mykowiecka, A		Piasecki, Maciej; Radziszewski, Adam			Morphosyntactic Constraints in the Acquisition of Linguistic Knowledge for Polish	ASPECTS OF NATURAL LANGUAGE PROCESSING: ESSAYS DEDICATED TO LEONARD BOLC ON THE OCCASION OF HIS 75TH BIRTHDAY	Lecture Notes in Computer Science											Many approaches to the construction of language tools and acquisition of linguistic knowledge from corpora assume the application of some robust shallow parser. Construction of such a parser is difficult in the case of inflective languages with relaxed word order like Polish. The goal of the work presented here is to analyse the extent of knowledge that call be expressed in the form of morphosyntactic constraints referring to morphological properties of word forms, and its applications in the automatic extraction of syntactic and semantic knowledge. Basic properties of all extended version of the language of morphosyntactic constraints called JOSKIPI are briefly presented. The application of morphosyntactic constraints as background knowledge for extraction of disambiguation rules for Polish is discussed. A new approach to extraction of lexical semantic relations is presented: it relies oil the constraints in identifying lexico-morphosyntactic dependencies among word forms in the text. Finally, a combination of the constraints and statistical analysis in the acquisition of multiword expressions is outlined.					Piasecki, Maciej/C-2058-2015														0302-9743		978-3-642-04734-3				2009	5070						163	190				10.1007/978-3-642-04735-0												WOS:000270961400007
J	Yamashita, M; Mullin, TJ; Safarina, S				Yamashita, Makoto; Mullin, Tim J.; Safarina, Sena			An efficient second-order cone programming approach for optimal selection in tree breeding	OPTIMIZATION LETTERS												It is common in forest tree breeding that selection of populations must consider conservation of genetic diversity, while at the same time attempting to maximize response to selection. To optimize selection in these situations, the constraint on genetic diversity can be mathematically described with the numerator relationship matrix as a quadratic constraint. Pong-Wong and Woolliams formulated the optimal selection problem using semidefinite programming (SDP). Their SDP approach gave an accurate optimal value, but required rather long computation time. In this paper, we propose an second-order cone programming (SOCP) approach to reduce the heavy computation cost. First, we demonstrate that a simple SOCP formulation achieves the same numerical solution as the SDP approach. A simple SOCP formulation is, however, not much more efficient compared to the SDP approach, so we focused on the sparsity structure of the numerator relationship matrix, and we develop a more efficient SOCP formulation using Henderson's algorithm. Numerical results show that the proposed formulation, which we call a compact SOCP, greatly reduced computation time. In a case study, an optimal selection problem that demanded 39,200s under the SDP approach was solved in less than 2s by the compact SOCP formulation. The proposed approach is now available as a part of the software package OPSEL.					Mullin, Tim/Q-9107-2019; Yamashita, Makoto/C-1330-2015	Yamashita, Makoto/0000-0002-8409-036X; Safarina, Sena/0000-0003-0653-5842													1862-4472	1862-4480				OCT	2018	12	7					1683	1697		10.1007/s11590-018-1229-y	http://dx.doi.org/10.1007/s11590-018-1229-y													WOS:000445207200015
J	Van den Berghe, K; Peris, A; Meijers, E; Jacobs, W				Van den Berghe, Karel; Peris, Antoine; Meijers, Evert; Jacobs, Wouter			Friends with benefits: the emergence of the Amsterdam-Rotterdam-Antwerp (ARA) polycentric port region	TERRITORY POLITICS GOVERNANCE												This paper enacts a dialogue between planning literature on polycentric urban regions (PUR) and port geography literature on multi-port gateways. The main proposition is that polycentric systems are the emergent outcome of the interactions between three dimensions of polycentricity: morphological, functional and institutional. The focus is on the Dutch-Belgian Amsterdam-Rotterdam-Antwerp (ARA) port-industrial region: one of the world's largest concentrations of oil refining and petrochemical activity. The central question is to what extent is the ARA region a polycentric system and what explains this observed polycentricity? Our analyses demonstrate a high degree of morphological and functional polycentricity with each of the constituent (firms located in) ports connected through flows and specialization in processing and trading oil (products). However, this is not the intended result of formalized spatial planning, nor did the ARA ever became a frame of reference among planning agencies. Rather, it is the result of self-organization in the oil industry that has culminated in the emergence of the ARA as an internationally recognized spot market, later institutionally formalized in delivery contracts (oil futures) traded on international commodity exchanges. We conclude that polycentric systems could be understood as emergent systems that obtained generative capacities, in turn influencing its different constituting dimensions.					Meijers, Evert/C-2143-2012; Van den Berghe, Karel/B-9559-2014	Meijers, Evert/0000-0002-0031-6828; Peris, Antoine/0000-0002-9150-2596; Van den Berghe, Karel/0000-0001-8395-0586													2162-2671	2162-268X				FEB 17	2023	11	2			SI		301	320		10.1080/21622671.2021.2014353	http://dx.doi.org/10.1080/21622671.2021.2014353		JAN 2022											WOS:000741847600001
C	Rezk, MA; Oj, A; El Khayat, GA; Hussein, S		Kankanhalli, A; Ojo, A; Soares, D		Rezk, Mohamed Adel; Oj, Adegboyga; El Khayat, Ghada A.; Hussein, Safaa			A Predictive Government Decision Based on Citizen Opinions - Tools & Results	PROCEEDINGS OF THE 11TH INTERNATIONAL CONFERENCE ON THEORY AND PRACTICE OF ELECTRONIC GOVERNANCE (ICEGOV2018)	ACM International Conference Proceedings Series				11th International Conference on Theory and Practice of Electronic Governance (ICEGOV)	APR 04-06, 2018	Natl Univ Ireland Galway, Galway, IRELAND	Sci Fdn Ireland, INSIGHT Ctr Data Analyt, United Nat Univ, Operating Unit Policy Driven Elect Governance, United Nat Educ, Sci & Cultural Org, Govt Republ Ireland, Dept Publ Expenditure & Reform	Natl Univ Ireland Galway			Research on citizen satisfaction with respect to public policies has significant public and political value. Politicians are generally seeking effective public policies that favourably impacts citizens' satisfaction. Citizen satisfaction index is a plausible mechanism for public policy makers to monitor and evaluate the public policies. While surveys on citizen satisfaction are common among agile and progressive public administration and governments, automating the computation of citizen's' satisfaction is challenging. Given that surveys and evaluations related to citizen satisfaction are retrospective, remedial actions when necessary are always somewhat late. We describe in this poster a predictive analytics framework for citizen satisfaction with respect to public policy based on the previous citizen sentiments past related policies.																					978-1-4503-5421-9				2018							712	714		10.1145/3209415.3209504	http://dx.doi.org/10.1145/3209415.3209504													WOS:000515826000103
J	Cox, DTC; Hudson, HL; Shanahan, DF; Fuller, RA; Gaston, KJ				Cox, Daniel T. C.; Hudson, Hannah L.; Shanahan, Danielle F.; Fuller, Richard A.; Gaston, Kevin J.			The rarity of direct experiences of nature in an urban population	LANDSCAPE AND URBAN PLANNING												As people live more urbanised lifestyles there is potential to lose daily contact with nature, diminishing access to the wide range of associated health benefits of interacting with nature. Experiences of nature vary widely across populations, but this variation is poorly understood. We surveyed 1023 residents of an urban population in the UK to measure four distinctly different nature interactions: indirect (viewing nature through a window at work and at home), incidental (spending time outside at work), intentional. (time spent in private gardens) and intentional (time spent in public parks). Scaled-up to the whole study population, accumulation curves of the total number of hours per week that people were exposed to each type of nature interaction showed that 75% of nature interactions were experienced by half the population. Moreover, 75% of the interactions of a type where people were actually present in nature were experienced by just 32% of the population. The average hours each individual experienced nature per week varied across interactions: indirect (46.0 +/- 27.3 SD), incidental (6.4 +/- 12.7 SD), intentional gardens (2.5 +/- 2.9 SD) and intentional-parks (2.3 +/- 2.7 SD). Experiencing nature regularly appears to be the exception rather than the norm, with a person's connection to nature being positively associated with incidental and intentional experiences. This novel study provides baseline information regarding how an urban population experiences different types of nature. Deconstructing nature experience will pave the way for developing recommendations for targeted health outcomes. (C) 2016 The Authors. Published by Elsevier B.V.					Fuller, Richard/B-7971-2008; Shanahan, Danielle F/F-8437-2013	Fuller, Richard/0000-0001-9468-9678; Cox, Daniel/0000-0003-1929-5438; Gaston, Kevin J./0000-0002-7235-7928													0169-2046	1872-6062				APR	2017	160						79	84		10.1016/j.landurbplan.2016.12.006	http://dx.doi.org/10.1016/j.landurbplan.2016.12.006													WOS:000394403300008
J	Tan, Y; Zhang, EM; Li, Y; Huang, SL; Zhang, XP				Tan, Yang; Zhang, Enming; Li, Yang; Huang, Shao-Lun; Zhang, Xiao-Ping			Transferability-Guided Cross-Domain Cross-Task Transfer Learning	IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS												We propose two novel transferability metrics fast optimal transport-based conditional entropy (F-OTCE) and joint correspondence OTCE (JC-OTCE) to evaluate how much the source model (task) can benefit the learning of the target task and to learn more generalizable representations for cross-domain cross-task transfer learning. Unlike the original OTCE metric that requires evaluating the empirical transferability on auxiliary tasks, our metrics are auxiliary-free such that they can be computed much more efficiently. Specifically, F-OTCE estimates transferability by first solving an optimal transport (OT) problem between source and target distributions and then uses the optimal coupling to compute the negative conditional entropy (NCE) between the source and target labels. It can also serve as an objective function to enhance downstream transfer learning tasks including model finetuning and domain generalization (DG). Meanwhile, JC-OTCE improves the transferability accuracy of F-OTCE by including label distances in the OT problem, though it incurs additional computation costs. Extensive experiments demonstrate that F-OTCE and JC-OTCE outperform state-of-the-art auxiliary-free metrics by 21.1% and 25.8% , respectively, in correlation coefficient with the ground-truth transfer accuracy. By eliminating the training cost of auxiliary tasks, the two metrics reduce the total computation time of the previous method from 43 min to 9.32 and 10.78 s, respectively, for a pair of tasks. When applied in the model finetuning and DG tasks, F-OTCE shows significant improvements in the transfer accuracy in few-shot classification experiments, with up to 4.41% and 2.34% accuracy gains, respectively.					zhu, hao/KHW-3813-2024														2162-237X	2162-2388				2024 FEB 5	2024										10.1109/TNNLS.2024.3358094	http://dx.doi.org/10.1109/TNNLS.2024.3358094		FEB 2024						38315592					WOS:001174111500001
J	Petricli, G; Inkaya, T; Emel, GG				Petricli, Gulcan; Inkaya, Tulin; Emel, Gul Gokay			Identifying green citizen typologies by mining household-level survey data	RENEWABLE & SUSTAINABLE ENERGY REVIEWS												Some impactful but unfavorable results of rapid urbanization are human-nature disconnection, waste of energy/ water resources, and increased greenhouse gas emissions. To save the future of our planet, a transition to a more sustainable urban life is a must. However, there is no single sustainable city model because cities differ in terms of their assets. Hence, locally customized sustainable actions linked to global sustainability should be developed, such as a change in individual behaviors leads to a sustainable society, city, and country. This research investigated green citizen profiles and variables affecting the profiles in the context of environmental behavior and sustainability. For this purpose, survey research was done at the household level in a metropolis in Turkey. Measurement scales about environmental concern, human-nature connections, and sustainable consumption behavior were used for collecting data. A data analysis approach was proposed as the survey dataset contains mixed-type variables. It amalgamates statistics with machine learning algorithms, namely two-stage clustering with multilayered self-organizing maps, k-medoid clustering algorithm, factor analysis, permutational multivariate analysis of variance, principal component analysis and classification and regression trees algorithm. The results reveal that (i) five distinct profiles, namely unconscious greens, risky greens, economic greens, potential greens, and wasters are identified, none of which is entirely green; (ii) district, family life-cycle, household size, number of rooms, altruistic and biocentric environmental concerns are the most critical variables in distinguishing profiles; (iii) the proposed approach enables processing socio-demographic, psychographic, behavioral and consumption variables together.					petricli, gulcan/JCN-8103-2023; Emel, Gul Gokay/AAH-5172-2021														1364-0321	1879-0690				JAN	2024	189		A						113957	10.1016/j.rser.2023.113957	http://dx.doi.org/10.1016/j.rser.2023.113957		OCT 2023											WOS:001102603600001
